id,title,description,link,image_link,price,availability,condition,brand,google_product_category,color,material,product_type
root-spring-summer-blessing-red-agate-bracelet-12mm,Spring-Summer Blessing Red Agate Bracelet 12mm,"Spring's vitality, summer's calm — 12mm of radiant red agate that plants you firmly in the season of growth, so you bloom without burning out.",https://lunartalisman.com/detail/root-spring-summer-blessing-red-agate-bracelet-12mm/,https://lunartalisman.com/pins/root-spring-summer-blessing-red-agate-bracelet-12mm.jpg,163.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Natural Red Agate,Root Chakra
root-autumn-winter-blessing-red-agate-bracelet-12mm,Autumn-Winter Blessing Red Agate Bracelet 12mm,"For the season of harvest and rest — a warm 12mm band of red agate that turns your hard work into rewards and your worries into quiet, grounded peace.",https://lunartalisman.com/detail/root-autumn-winter-blessing-red-agate-bracelet-12mm/,https://lunartalisman.com/pins/root-autumn-winter-blessing-red-agate-bracelet-12mm.jpg,163.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Natural Red Agate,Root Chakra
root-classic-cinnabar-bracelet-6mm,Classic Cinnabar Bracelet 6mm,"The original red talisman, pure and simple — 6mm of imperial cinnabar that grounds your energy, guards your space, and steadies your courage.",https://lunartalisman.com/detail/root-classic-cinnabar-bracelet-6mm/,https://lunartalisman.com/pins/root-classic-cinnabar-bracelet-6mm.jpg,128.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Round Imperial Cinnabar,Root Chakra
root-fire-element-pi-xiu-wealth-bracelet-10mm,Fire-Element Pi Xiu Wealth Bracelet 10mm,Carved Pi Xiu guardians wrapped in fire-element reds — the bold 10mm bracelet that pulls wealth toward you while keeping your foundation solid.,https://lunartalisman.com/detail/root-fire-element-pi-xiu-wealth-bracelet-10mm/,https://lunartalisman.com/pins/root-fire-element-pi-xiu-wealth-bracelet-10mm.jpg,215.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,"(Pi Xiu Carvings + Red Agate, ",Root Chakra
root-fire-element-five-elements-bracelet-8mm,Fire-Element Five Elements Bracelet 8mm,"A balanced ring of fire-element reds in 8mm — reignite your drive and courage, and let the fire feed the earth beneath your feet.",https://lunartalisman.com/detail/root-fire-element-five-elements-bracelet-8mm/,https://lunartalisman.com/pins/root-fire-element-five-elements-bracelet-8mm.jpg,128.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,"Fire-Element Mix (Red Agate, R",Root Chakra
root-fire-element-five-elements-bracelet-10mm,Fire-Element Five Elements Bracelet 10mm,"The same fire, in a bolder 10mm flame — for the moments when you need your warmth to be seen, your courage to be felt, and your roots to be undeniable.",https://lunartalisman.com/detail/root-fire-element-five-elements-bracelet-10mm/,https://lunartalisman.com/pins/root-fire-element-five-elements-bracelet-10mm.jpg,243.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,"Fire-Element Mix (Red Agate, R",Root Chakra
root-red-fortune-red-agate-bracelet-12mm,Red Fortune Red Agate Bracelet 12mm,"Red luck, right at hand — 12mm of vivid red agate that turns opportunity into outcome and keeps fortune close enough to touch.",https://lunartalisman.com/detail/root-red-fortune-red-agate-bracelet-12mm/,https://lunartalisman.com/pins/root-red-fortune-red-agate-bracelet-12mm.jpg,263.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Natural Red Agate,Root Chakra
root-red-beauty-agate-bracelet-10mm,Red Beauty Agate Bracelet 10mm,For the woman who wants to glow from the inside out — 10mm of rose-red agate that roots your confidence and lets your natural radiance do the talking.,https://lunartalisman.com/detail/root-red-beauty-agate-bracelet-10mm/,https://lunartalisman.com/pins/root-red-beauty-agate-bracelet-10mm.jpg,186.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Natural Red Agate,Root Chakra
root-sunset-glow-red-agate-bracelet-12mm,Sunset Glow Red Agate Bracelet 12mm,Red clouds spreading across the whole sky — 12mm of sunset red agate for the transformation you are ready to be seen in.,https://lunartalisman.com/detail/root-sunset-glow-red-agate-bracelet-12mm/,https://lunartalisman.com/pins/root-sunset-glow-red-agate-bracelet-12mm.jpg,186.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Natural Red Agate,Root Chakra
root-dawn-blush-agate-bracelet-10mm,Dawn Blush Agate Bracelet 10mm,"The first light of morning, blooming on your wrist — 10mm of dawn-pink agate for soft courage, gentle beginnings, and the strength that grows quietly.",https://lunartalisman.com/detail/root-dawn-blush-agate-bracelet-10mm/,https://lunartalisman.com/pins/root-dawn-blush-agate-bracelet-10mm.jpg,152.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Natural Red Agate (Coral-Pink ,Root Chakra
